Name	Type	Attributes	Definition
d_alignment_start	integer	optional, nullable	"Start position of the first or only D gene in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
d_alignment_end	integer	optional, nullable	"End position of the first or only D gene in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
d2_sequence_start	integer	optional, nullable	"Start position of the second D gene in the query sequence (1-based closed interval).
"
d2_sequence_end	integer	optional, nullable	"End position of the second D gene in the query sequence (1-based closed interval).
"
d2_germline_start	integer	optional, nullable	"Alignment start position in the second D gene reference sequence (1-based closed interval).
"
d2_germline_end	integer	optional, nullable	"Alignment end position in the second D gene reference sequence (1-based closed interval).
"
d2_alignment_start	integer	optional, nullable	"Start position of the second D gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
d2_alignment_end	integer	optional, nullable	"End position of the second D gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
j_sequence_start	integer	optional, nullable	"Start position of the J gene in the query sequence (1-based closed interval).
"
j_sequence_end	integer	optional, nullable	"End position of the J gene in the query sequence (1-based closed interval).
"
j_germline_start	integer	optional, nullable	"Alignment start position in the J gene reference sequence (1-based closed interval).
"
j_germline_end	integer	optional, nullable	"Alignment end position in the J gene reference sequence (1-based closed interval).
"
j_alignment_start	integer	optional, nullable	"Start position of the J gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
j_alignment_end	integer	optional, nullable	"End position of the J gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
c_sequence_start	integer	optional, nullable	"Start position of the C gene in the query sequence (1-based closed interval).
"
c_sequence_end	integer	optional, nullable	"End position of the C gene in the query sequence (1-based closed interval).
"
c_germline_start	integer	optional, nullable	"Alignment start position in the C gene reference sequence (1-based closed interval).
"
c_germline_end	integer	optional, nullable	"Alignment end position in the C gene reference sequence (1-based closed interval).
"
c_alignment_start	integer	optional, nullable	"Start position of the C gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
c_alignment_end	integer	optional, nullable	"End position of the C gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
"
cdr1_start	integer	optional, nullable	CDR1 start position in the query sequence (1-based closed interval).
cdr1_end	integer	optional, nullable	CDR1 end position in the query sequence (1-based closed interval).
cdr2_start	integer	optional, nullable	CDR2 start position in the query sequence (1-based closed interval).
cdr2_end	integer	optional, nullable	CDR2 end position in the query sequence (1-based closed interval).
cdr3_start	integer	optional, nullable	CDR3 start position in the query sequence (1-based closed interval).
cdr3_end	integer	optional, nullable	CDR3 end position in the query sequence (1-based closed interval).
fwr1_start	integer	optional, nullable	FWR1 start position in the query sequence (1-based closed interval).
fwr1_end	integer	optional, nullable	FWR1 end position in the query sequence (1-based closed interval).
fwr2_start	integer	optional, nullable	FWR2 start position in the query sequence (1-based closed interval).
fwr2_end	integer	optional, nullable	FWR2 end position in the query sequence (1-based closed interval).
fwr3_start	integer	optional, nullable	FWR3 start position in the query sequence (1-based closed interval).
fwr3_end	integer	optional, nullable	FWR3 end position in the query sequence (1-based closed interval).
fwr4_start	integer	optional, nullable	FWR4 start position in the query sequence (1-based closed interval).
fwr4_end	integer	optional, nullable	FWR4 end position in the query sequence (1-based closed interval).
v_sequence_alignment	string	optional, nullable	"Aligned portion of query sequence assigned to the V gene, including any indel corrections or numbering spacers.
"
v_sequence_alignment_aa	string	optional, nullable	"Amino acid translation of the v_sequence_alignment field.
"
d_sequence_alignment	string	optional, nullable	"Aligned portion of query sequence assigned to the first or only D gene, including any indel corrections or numbering spacers.
"
d_sequence_alignment_aa	string	optional, nullable	"Amino acid translation of the d_sequence_alignment field.
"
d2_sequence_alignment	string	optional, nullable	"Aligned portion of query sequence assigned to the second D gene, including any indel corrections or numbering spacers.
"
d2_sequence_alignment_aa	string	optional, nullable	"Amino acid translation of the d2_sequence_alignment field.
"
j_sequence_alignment	string	optional, nullable	"Aligned portion of query sequence assigned to the J gene, including any indel corrections or numbering spacers.
"
j_sequence_alignment_aa	string	optional, nullable	"Amino acid translation of the j_sequence_alignment field.
"
c_sequence_alignment	string	optional, nullable	"Aligned portion of query sequence assigned to the constant region, including any indel corrections or numbering spacers.
"
c_sequence_alignment_aa	string	optional, nullable	"Amino acid translation of the c_sequence_alignment field.
"
v_germline_alignment	string	optional, nullable	"Aligned V gene germline sequence spanning the same region as the v_sequence_alignment field and including the same set of corrections and spacers (if any).
"
v_germline_alignment_aa	string	optional, nullable	"Amino acid translation of the v_germline_alignment field.
"
d_germline_alignment	string	optional, nullable	"Aligned D gene germline sequence spanning the same region as the d_sequence_alignment field and including the same set of corrections and spacers (if any).
"
d_germline_alignment_aa	string	optional, nullable	"Amino acid translation of the d_germline_alignment field.
"
d2_germline_alignment	string	optional, nullable	"Aligned D gene germline sequence spanning the same region as the d2_sequence_alignment field and including the same set of corrections and spacers (if any).
"
d2_germline_alignment_aa	string	optional, nullable	"Amino acid translation of the d2_germline_alignment field.
"
j_germline_alignment	string	optional, nullable	"Aligned J gene germline sequence spanning the same region as the j_sequence_alignment field and including the same set of corrections and spacers (if any).
"
j_germline_alignment_aa	string	optional, nullable	"Amino acid translation of the j_germline_alignment field.
"
c_germline_alignment	string	optional, nullable	"Aligned constant region germline sequence spanning the same region as the c_sequence_alignment field and including the same set of corrections and spacers (if any).
"
c_germline_alignment_aa	string	optional, nullable	"Amino acid translation of the c_germline_aligment field.
"
junction_length	integer	optional, nullable	Number of nucleotides in the junction sequence.
junction_aa_length	integer	optional, nullable	Number of amino acids in the junction sequence.
np1_length	integer	optional, nullable	"Number of nucleotides between the V gene and first D gene alignments or between the V gene and J gene alignments.
"
np2_length	integer	optional, nullable	"Number of nucleotides between either the first D gene and J gene alignments or the first D gene and second D gene alignments.
"
np3_length	integer	optional, nullable	"Number of nucleotides between the second D gene and J gene alignments.
"
n1_length	integer	optional, nullable	Number of untemplated nucleotides 5' of the first or only D gene alignment.
n2_length	integer	optional, nullable	Number of untemplated nucleotides 3' of the first or only D gene alignment.
n3_length	integer	optional, nullable	Number of untemplated nucleotides 3' of the second D gene alignment.
p3v_length	integer	optional, nullable	Number of palindromic nucleotides 3' of the V gene alignment.
p5d_length	integer	optional, nullable	Number of palindromic nucleotides 5' of the first or only D gene alignment.
p3d_length	integer	optional, nullable	Number of palindromic nucleotides 3' of the first or only D gene alignment.
p5d2_length	integer	optional, nullable	Number of palindromic nucleotides 5' of the second D gene alignment.
p3d2_length	integer	optional, nullable	Number of palindromic nucleotides 3' of the second D gene alignment.
p5j_length	integer	optional, nullable	Number of palindromic nucleotides 5' of the J gene alignment.
v_frameshift	boolean	optional, nullable	"True if the V gene in the query nucleotide sequence contains a translational frameshift relative to the frame of the V gene reference sequence.
"
j_frameshift	boolean	optional, nullable	"True if the J gene in the query nucleotide sequence contains a translational frameshift relative to the frame of the J gene reference sequence.
"
d_frame	integer	optional, nullable	"Numerical reading frame (1, 2, 3) of the first or only D gene in the query nucleotide sequence, where frame 1 is relative to the first codon of D gene reference sequence.
"
d2_frame	integer	optional, nullable	"Numerical reading frame (1, 2, 3) of the second D gene in the query nucleotide sequence, where frame 1 is relative to the first codon of D gene reference sequence.
"
consensus_count	integer	optional, nullable	"Number of reads contributing to the UMI consensus or contig assembly for this sequence. For example, the sum of the number of reads for all UMIs that contribute to the query sequence.
"
duplicate_count	integer	optional, nullable	"Copy number or number of duplicate observations for the query sequence. For example, the number of identical reads observed for this sequence.
"
umi_count	integer	optional, nullable	"Number of distinct UMIs represented by this sequence. For example, the total number of UMIs that contribute to the contig assembly for the query sequence.
"
cell_id	string	optional, identifier, nullable	"Identifier defining the cell of origin for the query sequence.
"
clone_id	string	optional, identifier, nullable	Clonal cluster assignment for the query sequence.
repertoire_id	string	optional, identifier, nullable	Identifier to the associated repertoire in study metadata.
sample_processing_id	string	optional, identifier, nullable	"Identifier to the sample processing object in the repertoire metadata for this rearrangement. If the repertoire has a single sample then this field may be empty or missing. If the repertoire has multiple samples then this field may be empty or missing if the sample cannot be differentiated or the relationship is not maintained by the data processing.
"
data_processing_id	string	optional, identifier, nullable	"Identifier to the data processing object in the repertoire metadata for this rearrangement. If this field is empty than the primary data processing object is assumed.
"
rearrangement_id	string	DEPRECATED	"Identifier for the Rearrangement object. May be identical to sequence_id, but will usually be a universally unique record locator for database applications.
"
rearrangement_set_id	string	DEPRECATED	"Identifier for grouping Rearrangement objects.
"
germline_database	string	DEPRECATED	Source of germline V(D)J genes with version number or date accessed.
